jobs,candidates,first_capacity,second_capacity,revise,probe_cost,recovery_cost,p0,p1,minimum_expected_extra_cost_for_success_one,optimal_endpoints
6,2,6,3,False,4,0,1,1,0,retain;retain+recover
6,2,6,3,False,4,1,1,1,0,retain;retain+recover
6,2,6,3,False,4,2,1,1,0,retain;retain+recover
6,2,6,3,False,4,4,1,1,0,retain;retain+recover
6,2,6,3,False,4,8,1,1,0,retain;retain+recover
6,2,6,3,True,1,0,1,1,0,retain;retain+recover
6,2,6,3,True,1,1,1,1,0,retain;retain+recover
6,2,6,3,True,1,2,1,1,0,retain;retain+recover
6,2,6,3,True,1,4,1,1,0,retain;retain+recover
6,2,6,3,True,1,8,1,1,0,retain;retain+recover
6,2,6,3,True,2,0,1,1,0,retain;retain+recover
6,2,6,3,True,2,1,1,1,0,retain;retain+recover
6,2,6,3,True,2,2,1,1,0,retain;retain+recover
6,2,6,3,True,2,4,1,1,0,retain;retain+recover
6,2,6,3,True,2,8,1,1,0,retain;retain+recover
6,2,6,3,True,4,0,1,1,0,retain;retain+recover
6,2,6,3,True,4,1,1,1,0,retain;retain+recover
6,2,6,3,True,4,2,1,1,0,retain;retain+recover
6,2,6,3,True,4,4,1,1,0,retain;retain+recover
6,2,6,3,True,4,8,1,1,0,retain;retain+recover
6,2,6,6,False,1,0,1,1,0,retain;retain+recover
6,2,6,6,False,1,1,1,1,0,retain;retain+recover
6,2,6,6,False,1,2,1,1,0,retain;retain+recover
6,2,6,6,False,1,4,1,1,0,retain;retain+recover
6,2,6,6,False,1,8,1,1,0,retain;retain+recover
6,2,6,6,False,2,0,1,1,0,retain;retain+recover
6,2,6,6,False,2,1,1,1,0,retain;retain+recover
6,2,6,6,False,2,2,1,1,0,retain;retain+recover
6,2,6,6,False,2,4,1,1,0,retain;retain+recover
6,2,6,6,False,2,8,1,1,0,retain;retain+recover
6,2,6,6,False,4,0,1,1,0,retain;retain+recover
6,2,6,6,False,4,1,1,1,0,retain;retain+recover
6,2,6,6,False,4,2,1,1,0,retain;retain+recover
6,2,6,6,False,4,4,1,1,0,retain;retain+recover
6,2,6,6,False,4,8,1,1,0,retain;retain+recover
6,2,6,6,True,1,0,1,1,0,retain;retain+recover
6,2,6,6,True,1,1,1,1,0,retain;retain+recover
6,2,6,6,True,1,2,1,1,0,retain;retain+recover
6,2,6,6,True,1,4,1,1,0,retain;retain+recover
6,2,6,6,True,1,8,1,1,0,retain;retain+recover
6,2,6,6,True,2,0,1,1,0,retain;retain+recover
6,2,6,6,True,2,1,1,1,0,retain;retain+recover
6,2,6,6,True,2,2,1,1,0,retain;retain+recover
6,2,6,6,True,2,4,1,1,0,retain;retain+recover
6,2,6,6,True,2,8,1,1,0,retain;retain+recover
6,2,6,6,True,4,0,1,1,0,retain;retain+recover
6,2,6,6,True,4,1,1,1,0,retain;retain+recover
6,2,6,6,True,4,2,1,1,0,retain;retain+recover
6,2,6,6,True,4,4,1,1,0,retain;retain+recover
6,2,6,6,True,4,8,1,1,0,retain;retain+recover
6,3,0,0,False,1,0,0,0,0,retain+recover
6,3,0,0,False,1,1,0,0,1,retain+recover
6,3,0,0,False,1,2,0,0,2,retain+recover
6,3,0,0,False,1,4,0,0,4,retain+recover
6,3,0,0,False,1,8,0,0,8,retain+recover
6,3,0,0,False,2,0,0,0,0,retain+recover
6,3,0,0,False,2,1,0,0,1,retain+recover
6,3,0,0,False,2,2,0,0,2,retain+recover
6,3,0,0,False,2,4,0,0,4,retain+recover
6,3,0,0,False,2,8,0,0,8,retain+recover
6,3,0,0,False,4,0,0,0,0,retain+recover
6,3,0,0,False,4,1,0,0,1,retain+recover
6,3,0,0,False,4,2,0,0,2,retain+recover
6,3,0,0,False,4,4,0,0,4,retain+recover
6,3,0,0,False,4,8,0,0,8,retain+recover
6,3,0,0,True,1,0,0,0,0,retain+recover
6,3,0,0,True,1,1,0,0,1,retain+recover
6,3,0,0,True,1,2,0,0,2,retain+recover
6,3,0,0,True,1,4,0,0,4,retain+recover
6,3,0,0,True,1,8,0,0,8,retain+recover
6,3,0,0,True,2,0,0,0,0,retain+recover
6,3,0,0,True,2,1,0,0,1,retain+recover
6,3,0,0,True,2,2,0,0,2,retain+recover
6,3,0,0,True,2,4,0,0,4,retain+recover
6,3,0,0,True,2,8,0,0,8,retain+recover
6,3,0,0,True,4,0,0,0,0,retain+recover
6,3,0,0,True,4,1,0,0,1,retain+recover
6,3,0,0,True,4,2,0,0,2,retain+recover
6,3,0,0,True,4,4,0,0,4,retain+recover
6,3,0,0,True,4,8,0,0,8,retain+recover
6,3,0,1,False,1,0,0,0,0,retain+recover
6,3,0,1,False,1,1,0,0,1,retain+recover
6,3,0,1,False,1,2,0,0,2,retain+recover
6,3,0,1,False,1,4,0,0,4,retain+recover
6,3,0,1,False,1,8,0,0,8,retain+recover
6,3,0,1,False,2,0,0,0,0,retain+recover
6,3,0,1,False,2,1,0,0,1,retain+recover
6,3,0,1,False,2,2,0,0,2,retain+recover
6,3,0,1,False,2,4,0,0,4,retain+recover
6,3,0,1,False,2,8,0,0,8,retain+recover
6,3,0,1,False,4,0,0,0,0,retain+recover
6,3,0,1,False,4,1,0,0,1,retain+recover
6,3,0,1,False,4,2,0,0,2,retain+recover
6,3,0,1,False,4,4,0,0,4,retain+recover
6,3,0,1,False,4,8,0,0,8,retain+recover
6,3,0,1,True,1,0,1/3,1/3,0,retain+recover
6,3,0,1,True,1,1,1/3,1/3,2/3,retain+recover
6,3,0,1,True,1,2,1/3,1/3,4/3,retain+recover
6,3,0,1,True,1,4,1/3,1/3,8/3,retain+recover
6,3,0,1,True,1,8,1/3,1/3,16/3,retain+recover
6,3,0,1,True,2,0,1/3,1/3,0,retain+recover
6,3,0,1,True,2,1,1/3,1/3,2/3,retain+recover
6,3,0,1,True,2,2,1/3,1/3,4/3,retain+recover
6,3,0,1,True,2,4,1/3,1/3,8/3,retain+recover
6,3,0,1,True,2,8,1/3,1/3,16/3,retain+recover
6,3,0,1,True,4,0,1/3,1/3,0,retain+recover
6,3,0,1,True,4,1,1/3,1/3,2/3,retain+recover
6,3,0,1,True,4,2,1/3,1/3,4/3,retain+recover
6,3,0,1,True,4,4,1/3,1/3,8/3,retain+recover
6,3,0,1,True,4,8,1/3,1/3,16/3,retain+recover
6,3,0,2,False,1,0,0,0,0,retain+recover
6,3,0,2,False,1,1,0,0,1,retain+recover
6,3,0,2,False,1,2,0,0,2,retain+recover
6,3,0,2,False,1,4,0,0,4,retain+recover
6,3,0,2,False,1,8,0,0,8,retain+recover
6,3,0,2,False,2,0,0,0,0,retain+recover
6,3,0,2,False,2,1,0,0,1,retain+recover
6,3,0,2,False,2,2,0,0,2,retain+recover
6,3,0,2,False,2,4,0,0,4,retain+recover
6,3,0,2,False,2,8,0,0,8,retain+recover
6,3,0,2,False,4,0,0,0,0,retain+recover
6,3,0,2,False,4,1,0,0,1,retain+recover
6,3,0,2,False,4,2,0,0,2,retain+recover
6,3,0,2,False,4,4,0,0,4,retain+recover
6,3,0,2,False,4,8,0,0,8,retain+recover
6,3,0,2,True,1,0,1/3,1/3,0,retain+recover
6,3,0,2,True,1,1,1/3,1/3,2/3,retain+recover
6,3,0,2,True,1,2,1/3,1/3,4/3,retain+recover
6,3,0,2,True,1,4,1/3,1/3,8/3,retain+recover
6,3,0,2,True,1,8,1/3,1/3,16/3,retain+recover
6,3,0,2,True,2,0,1/3,1/3,0,retain+recover
6,3,0,2,True,2,1,1/3,1/3,2/3,retain+recover
6,3,0,2,True,2,2,1/3,1/3,4/3,retain+recover
6,3,0,2,True,2,4,1/3,1/3,8/3,retain+recover
6,3,0,2,True,2,8,1/3,1/3,16/3,retain+recover
6,3,0,2,True,4,0,1/3,1/3,0,retain+recover
6,3,0,2,True,4,1,1/3,1/3,2/3,retain+recover
6,3,0,2,True,4,2,1/3,1/3,4/3,retain+recover
6,3,0,2,True,4,4,1/3,1/3,8/3,retain+recover
6,3,0,2,True,4,8,1/3,1/3,16/3,retain+recover
6,3,0,3,False,1,0,0,0,0,retain+recover
6,3,0,3,False,1,1,0,0,1,retain+recover
6,3,0,3,False,1,2,0,0,2,retain+recover
6,3,0,3,False,1,4,0,0,4,retain+recover
6,3,0,3,False,1,8,0,0,8,retain+recover
6,3,0,3,False,2,0,0,0,0,retain+recover
6,3,0,3,False,2,1,0,0,1,retain+recover
6,3,0,3,False,2,2,0,0,2,retain+recover
6,3,0,3,False,2,4,0,0,4,retain+recover
6,3,0,3,False,2,8,0,0,8,retain+recover
6,3,0,3,False,4,0,0,0,0,retain+recover
6,3,0,3,False,4,1,0,0,1,retain+recover
6,3,0,3,False,4,2,0,0,2,retain+recover
6,3,0,3,False,4,4,0,0,4,retain+recover
6,3,0,3,False,4,8,0,0,8,retain+recover
6,3,0,3,True,1,0,1/3,1/3,0,retain+recover
6,3,0,3,True,1,1,1/3,1/3,2/3,retain+recover
6,3,0,3,True,1,2,1/3,1/3,4/3,retain+recover
6,3,0,3,True,1,4,1/3,1/3,8/3,retain+recover
6,3,0,3,True,1,8,1/3,1/3,16/3,retain+recover
6,3,0,3,True,2,0,1/3,1/3,0,retain+recover
6,3,0,3,True,2,1,1/3,1/3,2/3,retain+recover
6,3,0,3,True,2,2,1/3,1/3,4/3,retain+recover
6,3,0,3,True,2,4,1/3,1/3,8/3,retain+recover
6,3,0,3,True,2,8,1/3,1/3,16/3,retain+recover
6,3,0,3,True,4,0,1/3,1/3,0,retain+recover
6,3,0,3,True,4,1,1/3,1/3,2/3,retain+recover
6,3,0,3,True,4,2,1/3,1/3,4/3,retain+recover
6,3,0,3,True,4,4,1/3,1/3,8/3,retain+recover
6,3,0,3,True,4,8,1/3,1/3,16/3,retain+recover
6,3,0,6,False,1,0,0,0,0,retain+recover
6,3,0,6,False,1,1,0,0,1,retain+recover
6,3,0,6,False,1,2,0,0,2,retain+recover
6,3,0,6,False,1,4,0,0,4,retain+recover
